"Gene","mean","sd"
"ENSG00000065243",8906,4855
"ENSG00000137947",4432,2571
"ENSG00000137944",5967,8346
"ENSG00000213516",4111,4530
"ENSG00000117226",5010,11792
"ENSG00000117228",2462,10678
"ENSG00000234518",4810,7636
"ENSG00000162645",11897,11818
"ENSG00000162654",1954,10064
"ENSG00000197147",8624,11330
"ENSG00000171488",6584,11615
"ENSG00000171492",9428,9581
"ENSG00000162664",6198,4503
"ENSG00000122482",4154,1740
"ENSG00000069702",11435,10476
"ENSG00000174842",261,596
"ENSG00000122484",3948,1798
"ENSG00000067208",7145,5663
"ENSG00000122406",12263,7246
"ENSG00000143033",3522,5571
"ENSG00000117500",9811,9751
"ENSG00000122483",1945,3380
"ENSG00000223745",6092,11168
"ENSG00000117505",6913,828
"ENSG00000137942",4805,4977
"ENSG00000137936",4784,6970
"ENSG00000067334",6506,6830
"ENSG00000023909",8079,10020
"ENSG00000137962",2738,10158
"ENSG00000117528",8623,4408
"ENSG00000117525",7470,12055
"ENSG00000117519",12231,9978
"ENSG00000172339",4104,5289
"ENSG00000152078",6312,10315
"ENSG00000271092",2194,4867
"ENSG00000122481",2207,6768
"ENSG00000228502",5752,6471
"ENSG00000137970",12038,7062
"ENSG00000117569",3471,4840
"ENSG00000228057",3171,5587
"ENSG00000188641",6798,9016
"ENSG00000162627",3361,3359
"ENSG00000099260",10712,11704
"ENSG00000162688",6275,4491
"ENSG00000117620",4452,2500
"ENSG00000283761",8386,3489
"ENSG00000156875",8213,3772
"ENSG00000122435",3234,5194
"ENSG00000137992",7786,5964
"ENSG00000137996",5760,3628
"ENSG00000162692",10412,11786
"ENSG00000162694",7415,7992
"ENSG00000162695",6519,2250
"ENSG00000117543",5042,4345
"ENSG00000170989",4872,10977
"ENSG00000183298",2254,8557
"ENSG00000226715",1277,9935
"ENSG00000185946",7368,8892
"ENSG00000240038",6698,9859
"ENSG00000198890",4183,4403
"ENSG00000224550",2218,5541
"ENSG00000085491",6051,8114
"ENSG00000162636",2593,10899
"ENSG00000134186",9035,2803
"ENSG00000116266",6896,855
"ENSG00000121957",5799,883
"ENSG00000121940",7599,161
"ENSG00000244716",10742,9100
"ENSG00000085433",2281,1459
"ENSG00000197780",2512,7828
"ENSG00000215717",9333,2828
"ENSG00000031698",11293,6262
"ENSG00000143126",2747,9900
"ENSG00000134243",9165,10487
"ENSG00000143106",9410,6940
"ENSG00000162650",3994,10066
"ENSG00000174151",5520,7499
"ENSG00000181754",7234,8315
"ENSG00000065135",8553,3293
"ENSG00000116337",9621,9867
"ENSG00000168765",8491,11062
"ENSG00000260246",2613,12390
"ENSG00000134184",6039,12403
"ENSG00000213366",9842,12018
"ENSG00000134202",5972,12080
"ENSG00000184371",10588,10215
"ENSG00000168710",11707,7309
"ENSG00000258634",848,4392
