"Gene","mean","sd"
"ENSG00000143578",4012,4351
"ENSG00000143543",11401,6175.5
"ENSG00000143545",9938,6114.5
"ENSG00000177954",6000.5,9958
"ENSG00000143549",11600,5022
"ENSG00000143612",11659,2366
"ENSG00000143569",11072,840
"ENSG00000143575",9779,2863
"ENSG00000143515",8674.5,9963
"ENSG00000160712",1209,11666
"ENSG00000169291",6614,9601
"ENSG00000160714",9680.5,64
"ENSG00000160710",11973,3691.5
"ENSG00000163344",7578,8300
"ENSG00000163346",12184,7007
"ENSG00000271380",4506.5,8615
"ENSG00000163348",10299,1549
"ENSG00000160691",11299,5189
"ENSG00000173207",383.5,3438
"ENSG00000160688",5689.5,3989
